,name,date,headline,intro
107,Welt,01/06/2021,Lichtenberg;Antisemitismusbeauftragten;bekommen,Antisemitismusbeauftragten;Deutschland;unspektakulärer;Berliner;Bezirk;bekommen;obwohl;Zahl;lebend;Jude;überschaubar;dürfen;wozu;dienen;eigentlich;Amt
108,Welt,01/06/2021,fantastische;Welt;Fledermäuse,-
109,Welt,01/06/2021,Ikone;Empire;State;Building;vs;Burj;Khalifa,-
110,Welt,01/06/2021,Ikone;Boeing;314;Clipper;vs;Airbus;A35,-
111,Welt,01/06/2021,Ikone;Kolosseum;vs;Wembley;Stadion,-
112,Welt,01/06/2021,Bild;Tag,Bild;Tag;auswählen;Fotoredaktion
113,Welt,01/06/2021,TRUTH;FACTS,statistische;Blick;mein;Alltag;direkt;schonungslos
114,Welt,01/06/2021,Ordnungsdienstkräfte;zielen;angespuckt;gebissen,Polizei;Ordnungsämter;beklagen;zunehmen;aggressiv;Verhalten;Kontrolle;Maskenpflicht;Abstandsregeln;Ausgangsbeschränkungen;Kommune;berichten;steigend;Unverständnis;verbal;Konflikt;tätlich;Angriff
115,Welt,01/06/2021,44;Multimillionär;Rente;Angestelltenkarriere,Traum;reichen;Serie;erzählen;Millionär;Geld;kommen;Mann;Wissensdurst;Nebenjob;sparsame;Ausgabe;vermögend
116,Welt,01/06/2021,sagen,Heribert;Faßbender;Legende;Sportberichterstattung;Fernsehen;ARD;Mann;unverkennbares;Markenzeichen;prägen;TV;Ära;wichtig;Spiel;kommentieren;Radio
117,Welt,01/06/2021,ARD;ZDF;berichten;Mensch;erziehen,Woche;finden;ARD;ZDF;Beispiel;Sender;informieren;bestimmt;Weltbild;vermitteln;Journalist;zumindest;versuchen;neutral;bleiben
118,Welt,01/06/2021,Schuss;Risiko,Woche;Abstand;AstraZeneca;Impfung;verkürzen;vorher;zwölf;Zeitpunkt;Dosis;egal;sehen;Nebenwirkung;wissen
119,Welt,01/06/2021,Maske;Auftrag;van;Laack;27;Bewerber;Angebot,-
120,Welt,01/06/2021,Sprunghafter;Anstieg;Privatpleiten;Jahresbeginn,-
121,Welt,01/06/2021,Sechsjährige;entführen;Fluss;werfen;Prozess;beginnen,-
122,Welt,01/06/2021,Regierung;Corona;Lockerungen;Hochschule;Juni,-
123,Welt,01/06/2021,Hannover;36;Jähriger;Streit;Lebensgefahr,-
124,Welt,01/06/2021,Baugrund;Umland;fragen;Sorge;Flächenverbrauch,-
125,Welt,01/06/2021,Sprunghafter;Anstieg;Privatinsolvenzen;Hessen,-
126,Welt,01/06/2021,Kontrolle;Testzentren;übernehmen,-
127,Welt,01/06/2021,Kreditvermittlung;Frankfurter;Volksbank;starten;Plattform,-
128,Welt,01/06/2021,Arbeitsmarkt;Datum;Mai;Erholung;erwarten,-
129,Welt,01/06/2021,Lastwagen;kippen;Straßengraben;225;000;Schaden,-
130,Welt,01/06/2021,Kicker;Wechsel;Trainer;Anfang;Werder;platzen,-
131,Tagesschau,01/06/2021,Blindflug;Pandemie,Impfkampagne;gelten;Ausweg;Corona;Pandemie;Experte;kritisieren;Blick;Herbst;entscheidend;Datum;fehlen
132,Tagesschau,01/06/2021,Andrang;Organisation,Impfpriorisierung;Frankreich;Nachfrage;jung;Mensch;Schlange;Impfzentren;bleiben;Derzeit;Impfstoff;Termin
133,Tagesschau,01/06/2021,trügerisch;Sicherheit,Sputnik;V;Corona;Impfstoff;weltweit;entsprechen;früh;laufen;russische;Impfkampagne;Zuletzt;geraten;Stocken;Gleichzeitig;steigen;Infektionszahlen
134,Tagesschau,01/06/2021,Nachricht;tagesschau24,Aktuelle;Meldung;hintergründige;Analyse;Interview;Verfolgen;Programm;ARD;Nachrichtenkanals;tagesschau24;live
135,Tagesschau,01/06/2021,Merkel;Macron;verlangen;Aufklärung,Beteiligung;dänisch;Geheimdienstes;Ausspähung;europäisch;Spitzenpolitiker;USA;sorgen;Unmut;Frankreich;Präsident;Macron;nennen;Vorgehen;inakzeptabel;Kanzlerin;Merkel;schloss
136,Tagesschau,01/06/2021,Gemischte;Bilanz;ungleich;Duo,Vertrag;Aachen;Verhältnis;Frankreich;Deutschland;innig;politische;Krise;deutschen;französische;Partnerschaft;Handeln;zwingen;analysieren
137,Tagesschau,01/06/2021,Angst;Rache;Taliban,Hunderte;Mitarbeiter;Bundeswehr;Afghanistan;ausreisen;Abzug;Rache;Taliban;fürchten;Rennen;Mühle;Bürokratie
