,name,date,headline,intro
3268,sueddeutsche,05/06/2021,künstlerisch;Care;Arbeit,Ein;neu;altern;Comic;von;Maurice;Tillieux;einen;Schale;in;der;Münchner;Antikensammlung;was;von;Pink;Floyd;der;Ausstellung;Cohabitation;und;einen;Ausstellung;über;anonym;Brief;aus;der;DDR
3269,ntv,05/06/2021,Endgültiges;Aus;für;Promis;unter;Palme,der;Zahl;der;Reality;TV;Format;lässt;sich;kaum;noch;überblicken;doch;ab;sofort;geben;ich;definitiv;eins;wenig;Sat;1;ziehen;bei;Promis;unter;Palme;der;Stecker;und;auch;sonst;wollen;sich;der;zuletzt;auch;noch;wegen;einer;ander;Show;in;der;Kritik;geraten;Sender;verändern
3270,sueddeutsche,05/06/2021,Charmanter;Furor,Genialisches;Talent;fulminante;Musikalität;Martha;Argerich;der;bedeutend;Pianistin;der;20;Jahrhundert;werden;80;Jahr;alt
3271,sueddeutsche,05/06/2021,Leclerc;holen;der;Pole;in;Baku,der;Ferrari;Pilot;lässt;Hamilton;und;Verstappen;hinter;sich;Kohlschreiber;scheitern;bei;der;French;Open;Stöger;werden;Trainer;in;Ungarn
3272,Welt,09/06/2021,Herd;chinesisch;Elefant;lässt;sich;nicht;aufhalten,-
3273,sueddeutsche,05/06/2021,jed;seinen;Balkon,Für;viel;Wohnungssuchenden;sein;der;Balkon;spätestens;seit;der;Pandemie;einen;Muss;Was;Bewohner;beachten;sollen;welch;Kosten;entstehen;können;und;warum;Balkon;nicht;gleichen;Balkon;sein
3274,sueddeutsche,05/06/2021,Zum;EM;Auftakt;einen;Dreierkette,der;Überlegung;der;Bundestrainers;werden;im;Mittelfeld;zu;einer;Dilemma;fahren;Löw;haben;nur;noch;wenig;Startelfplätze;zu;vergeben;der;können;auch;Champions;League;Sieger;Kai;Havertz;treffen
3275,sueddeutsche,05/06/2021,Finaleinzug;mit;dunkel;Schatten,Mit;82;73;im;viert;Spiel;werfen;der;FC;Bayer;der;Riese;Ludwigsburg;aus;der;Playoffs;und;ziehen;ins;Endspiel;einen;der;Sieg;kommen;der;Münchner;aber;teuer;zu;stehen
3276,Welt,07/06/2021,der;lang;Arm;Peking,Weg;Drohung;Peking;werden;einen;Webseite;abschalten;der;sich;für;Demokratie;einsetzen;aber;der;Unternehmen;sitzen;gar;nicht;in;China;sondern;in;Israel;der;Vorfall;zeigen;wie;groß;der;Einfluss;der;Kommunistische;Partei;selbst;im;demokratisch;Ausland;sein
3277,Zeit,06/06/2021,RKI;melden;2;294;Corona;Neuinfektionen,der;Zahl;der;gemeldet;Neuinfektionen;mit;Covid;19;gehen;weit;zurück;der;bundesweite;Sieb;Tag;Inzidenz;liegen;bei;26;3;Zudem;werden;122;neue;Tote;melden
3278,Welt,07/06/2021,so;gelingen;ich;der;Wiedereinstieg;ins;Fitness;Training,Nach;lang;Schließung;öffnen;in;dies;Tag;wieder;der;Fitnessstudios;der;Wiederaufnahme;der;Training;sollen;gut;planen;werden;sagen;Professor;Thoma;Wessinghage;ich;empfehlen;einen;einfach;Faustregel
3279,Welt,07/06/2021,ich;sein;beid;zerstören,der;Schmerz;der;historisch;schlecht;Ergebnis;beim;Grand;Prix;in;Baku;sitzen;tief;bei;Mercedes;Weltmeister;Hamilton;nehmen;der;Schuld;auf;sich;Red;Bull;suchen;noch;nach;der;Ursache;für;Verstappens;folgenschwer;Reifenplatzer
3280,Welt,07/06/2021,Berlin;planen;seinen;Marathon;mit;bis;zu;35;000;Läufern,Nach;Absagen;am;laufend;Band;finden;aktuell;erstmals;wieder;klein;Breitensportwettkämpfe;im;Ausdauerbereich;statt;Jetzt;machen;einen;Großevent;und;jährlich;Highlight;alle;Läufern;Hoffnung
